match_id,season,date,match_no,venue,city,team1,team2,toss_winner,toss_decision,innings1_score,innings1_wickets,innings2_score,innings2_wickets,winning_team,margin,won_by,player_of_the_match,team1_players,team2_players,umpire1,umpire2,umpire3
202432,2024,2024-04-17,32,"Narendra Modi Stadium, Ahmedabad",Ahmedabad,GT,DC,DC,field,89.0,10.0,92.0,4.0,DC,6.0,wickets,RR Pant,"WP Saha, Shubman Gill, B Sai Sudharsan, DA Miller, A Manohar, R Tewatia, M Shahrukh Khan, Rashid Khan, MM Sharma, Noor Ahmad, SH Johnson, S Sandeep Warrier","KK Ahmed, PP Shaw, J Fraser-McGurk, Abishek Porel, SD Hope, RR Pant, Sumit Kumar, T Stubbs, AR Patel, Kuldeep Yadav, I Sharma, Mukesh Kumar",NA Patwardhan,VK Sharma,J Madanagopal
202433,2024,2024-04-18,33,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",Mohali,MI,PBKS,PBKS,field,192.0,7.0,183.0,10.0,MI,9.0,runs,JJ Bumrah,"Akash Madhwal, Ishan Kishan, RG Sharma, SA Yadav, Tilak Varma, HH Pandya, TH David, R Shepherd, Mohammad Nabi, G Coetzee, S Gopal, JJ Bumrah","Arshdeep Singh, SM Curran, P Simran Singh, RR Rossouw, LS Livingstone, Harpreet Singh, Shashank Singh, JM Sharma, Ashutosh Sharma, Harpreet Brar, HV Patel, K Rabada",A Nand Kishore,VA Kulkarni,Nitin Menon
202434,2024,2024-04-19,34,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Lucknow,CSK,LSG,LSG,field,176.0,6.0,180.0,2.0,LSG,8.0,wickets,KL Rahul,"AM Rahane, R Ravindra, RD Gaikwad, RA Jadeja, S Dube, Sameer Rizvi, MM Ali, MS Dhoni, DL Chahar, TU Deshpande, Mustafizur Rahman, M Pathirana","Q de Kock, KL Rahul, N Pooran, MP Stoinis, DJ Hooda, A Badoni, KH Pandya, MJ Henry, Ravi Bishnoi, Mohsin Khan, Yash Thakur",AK Chaudhary,R Pandit,BNJ Oxenford
202435,2024,2024-04-20,35,"Arun Jaitley Stadium, Delhi",Delhi,SRH,DC,DC,field,266.0,7.0,199.0,10.0,SRH,67.0,runs,TM Head,"TM Head, Abhishek Sharma, AK Markram, H Klaasen, Nithish Kumar Reddy, Shahbaz Ahmed, Abdul Samad, PJ Cummins, Washington Sundar, B Kumar, T Natarajan, M Markande","KK Ahmed, PP Shaw, DA Warner, J Fraser-McGurk, Abishek Porel, T Stubbs, RR Pant, Lalit Yadav, AR Patel, A Nortje, Kuldeep Yadav, Mukesh Kumar",J Madanagopal,Navdeep Singh,Tapan Sharma
202436,2024,2024-04-21,36,"Eden Gardens, Kolkata",Kolkata,KKR,RCB,RCB,field,222.0,6.0,221.0,10.0,KKR,1.0,runs,AD Russell,"Suyash Sharma, PD Salt, SP Narine, A Raghuvanshi, VR Iyer, SS Iyer, RK Singh, AD Russell, Ramandeep Singh, MA Starc, CV Varun, Harshit Rana","Yash Dayal, V Kohli, F du Plessis, WG Jacks, RM Patidar, C Green, SS Prabhudessai, MK Lomror, KD Karthik, KV Sharma, Mohammed Siraj, LH Ferguson",A Totre,Vinod Seshan,MA Gough
202437,2024,2024-04-21,37,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",Mohali,PBKS,GT,PBKS,bat,142.0,10.0,146.0,7.0,GT,3.0,wickets,R Sai Kishore,"SM Curran, P Simran Singh, RR Rossouw, JM Sharma, LS Livingstone, Shashank Singh, Ashutosh Sharma, Harpreet Singh, Harpreet Brar, HV Patel, K Rabada, Arshdeep Singh","S Sandeep Warrier, WP Saha, Shubman Gill, B Sai Sudharsan, DA Miller, Azmatullah Omarzai, R Tewatia, M Shahrukh Khan, Rashid Khan, R Sai Kishore, Noor Ahmad, MM Sharma",A Nand Kishore,VA Kulkarni,HAS Khalid
202438,2024,2024-04-22,38,"Sawai Mansingh Stadium, Jaipur",Jaipur,MI,RR,MI,bat,179.0,9.0,183.0,1.0,RR,9.0,wickets,Sandeep Sharma,"N Thushara, RG Sharma, Ishan Kishan, SA Yadav, Tilak Varma, Mohammad Nabi, N Wadhera, HH Pandya, TH David, G Coetzee, PP Chawla, JJ Bumrah","YS Chahal, YBK Jaiswal, JC Buttler, SV Samson, R Powell, R Parag, SO Hetmyer, Dhruv Jurel, R Ashwin, TA Boult, Avesh Khan, Sandeep Sharma",AK Chaudhary,MV Saidharshan Kumar,BNJ Oxenford
202439,2024,2024-04-23,39,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai,CSK,LSG,LSG,field,210.0,4.0,213.0,4.0,LSG,6.0,wickets,MP Stoinis,"SN Thakur, AM Rahane, RD Gaikwad, DJ Mitchell, RA Jadeja, S Dube, MS Dhoni, MM Ali, DL Chahar, TU Deshpande, Mustafizur Rahman, M Pathirana","Yash Thakur, Q de Kock, KL Rahul, MP Stoinis, D Padikkal, N Pooran, DJ Hooda, A Badoni, KH Pandya, MJ Henry, Ravi Bishnoi, Mohsin Khan",NA Patwardhan,Tapan Sharma,J Madanagopal
202440,2024,2024-04-24,40,"Arun Jaitley Stadium, Delhi",Delhi,DC,GT,GT,field,224.0,4.0,220.0,8.0,DC,4.0,runs,RR Pant,"Rasikh Salam, PP Shaw, J Fraser-McGurk, AR Patel, SD Hope, RR Pant, T Stubbs, Abishek Porel, Kuldeep Yadav, A Nortje, KK Ahmed, Mukesh Kumar","S Sandeep Warrier, WP Saha, Shubman Gill, B Sai Sudharsan, Azmatullah Omarzai, DA Miller, M Shahrukh Khan, R Tewatia, Rashid Khan, R Sai Kishore, MM Sharma, Noor Ahmad",KN Ananthapadmanabhan,UV Gandhe,A Totre
202441,2024,2024-04-25,41,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Hyderabad,RCB,SRH,RCB,bat,206.0,7.0,171.0,8.0,RCB,35.0,runs,RM Patidar,"V Kohli, F du Plessis, WG Jacks, RM Patidar, C Green, MK Lomror, KD Karthik, Swapnil Singh, KV Sharma, LH Ferguson, Yash Dayal, Mohammed Siraj","T Natarajan, Abhishek Sharma, TM Head, AK Markram, Nithish Kumar Reddy, H Klaasen, Shahbaz Ahmed, Abdul Samad, PJ Cummins, B Kumar, JD Unadkat, M Markande",Nitin Menon,HAS Khalid,VK Sharma
202442,2024,2024-04-26,42,"Eden Gardens, Kolkata",Kolkata,KKR,PBKS,PBKS,field,261.0,6.0,262.0,2.0,PBKS,8.0,wickets,JM Bairstow,"AS Roy, PD Salt, SP Narine, VR Iyer, AD Russell, SS Iyer, RK Singh, Ramandeep Singh, A Raghuvanshi, CV Varun, Harshit Rana, PVD Chameera","Arshdeep Singh, P Simran Singh, JM Bairstow, RR Rossouw, Shashank Singh, SM Curran, JM Sharma, Ashutosh Sharma, Harpreet Brar, HV Patel, K Rabada, RD Chahar",AK Chaudhary,YC Barde,R Pandit
202443,2024,2024-04-27,43,"Arun Jaitley Stadium, Delhi",Delhi,DC,MI,MI,field,257.0,4.0,247.0,9.0,DC,10.0,runs,J Fraser-McGurk,"Rasikh Salam, J Fraser-McGurk, Abishek Porel, SD Hope, RR Pant, T Stubbs, AR Patel, Kumar Kushagra, Kuldeep Yadav, LB Williams, KK Ahmed, Mukesh Kumar","N Thushara, Ishan Kishan, RG Sharma, SA Yadav, Tilak Varma, HH Pandya, N Wadhera, TH David, Mohammad Nabi, PP Chawla, L Wood, JJ Bumrah",Navdeep Singh,NA Patwardhan,J Madanagopal
202444,2024,2024-04-27,44,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Lucknow,LSG,RR,RR,field,196.0,5.0,199.0,3.0,RR,7.0,wickets,SV Samson,"A Mishra, Q de Kock, KL Rahul, MP Stoinis, DJ Hooda, N Pooran, A Badoni, KH Pandya, MJ Henry, Ravi Bishnoi, Mohsin Khan, Yash Thakur","YS Chahal, YBK Jaiswal, JC Buttler, SV Samson, R Parag, Dhruv Jurel, R Powell, SO Hetmyer, R Ashwin, TA Boult, Avesh Khan, Sandeep Sharma",KN Ananthapadmanabhan,MA Gough,Vinod Seshan
202445,2024,2024-04-28,45,"Narendra Modi Stadium, Ahmedabad",Ahmedabad,GT,RCB,RCB,field,200.0,3.0,206.0,1.0,RCB,9.0,wickets,WG Jacks,"S Sandeep Warrier, WP Saha, Shubman Gill, B Sai Sudharsan, M Shahrukh Khan, DA Miller, Azmatullah Omarzai, R Tewatia, Rashid Khan, R Sai Kishore, MM Sharma, Noor Ahmad","V Kohli, F du Plessis, WG Jacks, RM Patidar, GJ Maxwell, C Green, KD Karthik, KV Sharma, Mohammed Siraj, Yash Dayal, Swapnil Singh",Nitin Menon,VK Sharma,VA Kulkarni
